Zpid,Price,PriceLabel,Address,Bedrooms,Bathrooms,LivingArea,Latitude,Longitude,Zipcode,City,State,LotArea,LotAreaUnit,Country
109317042,325000,$325K,"1014 Crescent Fls, Huntsville, AL 35806",2.0,3,1947.0,34.77367,-86.68376,35806,Huntsville,AL,5227.2,sqft,USA
109326667,350000,$350K,"1234 Old Anniston Gadsden Hwy, Gadsden, AL 35905",3.0,3,1964.0,33.871044,-85.91984,35905,Gadsden,AL,667774.8,acres,USA
109361156,219000,$219K,"7040 State Highway 144, Alexandria, AL 36250",4.0,3,2400.0,33.782936,-85.92304,36250,Alexandria,AL,66211.2,acres,USA
109404845,240000,$240K,"2307 Ridgeview Rd, Anniston, AL 36207",4.0,3,2935.0,33.656654,-85.79552,36207,Anniston,AL,26571.6,acres,USA
109423326,498000,$498K,"2915 Blossom Park Dr, Owens Cross Roads, AL 35763",6.0,5,4073.0,34.691006,-86.43956,35763,Owens Cross Roads,AL,9583.2,sqft,USA
109428667,318750,$319K,"115 Bermuda Lakes Dr, Meridianville, AL 35759",3.0,3,3429.0,34.88782,-86.51629,35759,Meridianville,AL,10454.4,sqft,USA
43663,679000,$679K,"11440 Doggie Ave, Anchorage, AK 99507",3.0,4,2449.0,61.117077,-149.7179,99507,Anchorage,AK,22651.2,acres,USA
39726,475000,$475K,"7341 Bulen Dr, Anchorage, AK 99507",3.0,3,1624.0,61.153996,-149.8214,99507,Anchorage,AK,7840.8,sqft,USA
57322,325000,$325K,"10247 Vfw Rd, Eagle River, AK 99577",3.0,2,2400.0,61.313187,-149.57346,99577,Eagle River,AK,31363.2,acres,USA
127128790,494000,$494K,"3101 W Youngtree Dr, Wasilla, AK 99623",3.0,3,2162.0,61.58806,-149.52997,99623,Wasilla,AK,54450.0,acres,USA
84149152,399900,$400K,"4280 S Headvic Ct, Wasilla, AK 99654",4.0,2,1788.0,61.53339,-149.545,99654,Wasilla,AK,40075.2,acres,USA
442388567,435000,$435K,"8450 N Michaelson St, Palmer, AK 99645",3.0,2,1436.0,61.679855,-149.22328,99645,Palmer,AK,41382.0,acres,USA
36745,550000,$550K,"8441 Berry Patch Dr, Anchorage, AK 99502",4.0,3,1941.0,61.147034,-149.91281,99502,Anchorage,AK,6098.4,sqft,USA
51382,615000,$615K,"2430 Legacy Dr, Anchorage, AK 99516",3.0,3,2504.0,61.10122,-149.83708,99516,Anchorage,AK,9583.2,sqft,USA
33004,485000,$485K,"2521 W 77th Ct, Anchorage, AK 99502",4.0,3,1819.0,61.151283,-149.92633,99502,Anchorage,AK,7405.2,sqft,USA
219803925,199999,$200K,"2013 Blackburn Way, North Pole, AK 99705",3.0,1,1350.0,64.7775,-147.35365,99705,North Pole,AK,39204.0,acres,USA
49907,1100000,$1.10M,"12700 Reata Dr, Anchorage, AK 99516",4.0,4,3978.0,61.10602,-149.78586,99516,Anchorage,AK,87555.6,acres,USA
84149079,445000,$445K,"174 E Leota St, Wasilla, AK 99654",3.0,3,1915.0,61.555534,-149.44806,99654,Wasilla,AK,40510.8,acres,USA
219459688,250000,$250K,"1765 N Kerrylynn Ln, Wasilla, AK 99623",2.0,1,900.0,61.59871,-149.69739,99623,Wasilla,AK,45302.4,acres,USA
459848700,295000,$295K,"222 Huckleberry Ln, Dillingham, AK 99576",3.0,1,1300.0,59.287144,-158.69962,99576,Dillingham,AK,70131.6,acres,USA
52766,349000,$349K,"3225 De Armoun Rd, Anchorage, AK 99516",2.0,3,1800.0,61.0945,-149.82173,99516,Anchorage,AK,11325.6,acres,USA
90664555,250000,$250K,"4031 Parks Ridge Rd, Fairbanks, AK 99709",1.0,1,960.0,64.81694,-148.05476,99709,Fairbanks,AK,1056.0,acres,USA
230756778,650000,$650K,"6525 N Douglas Hwy, Juneau, AK 99801",4.0,3,2399.0,58.327534,-134.49199,99801,Juneau,AK,27878.4,acres,USA
219461687,279000,$279K,"4520 S Bodenburg Loop, Palmer, AK 99645",6.0,3,3577.0,61.526726,-149.06567,99645,Palmer,AK,87120.0,acres,USA
18927,435000,$435K,"5240 E 42nd Ave, Anchorage, AK 99508",4.0,3,2012.0,61.182625,-149.78246,99508,Anchorage,AK,10454.4,sqft,USA
45921,365000,$365K,"166 Ocean Park Dr, Anchorage, AK 99515",3.0,2,1532.0,61.112473,-149.88017,99515,Anchorage,AK,4356.0,sqft,USA
74520819,150000,$150K,"1655 E Raven Dr, Wasilla, AK 99654",3.0,2,1604.0,61.621986,-149.40926,99654,Wasilla,AK,22651.2,acres,USA
35914,3495000,$3.50M,"3806 N Point Cir, Anchorage, AK 99502",5.0,8,7098.0,61.132797,-149.95007,99502,Anchorage,AK,26571.6,acres,USA
248964159,675000,$675K,"38820 Retriever Ave, Soldotna, AK 99669",4.0,5,4000.0,60.48817,-150.90804,99669,Soldotna,AK,100188.0,acres,USA
74521564,364000,$364K,"630 E McAdoo Way, Wasilla, AK 99654",3.0,2,1530.0,61.62458,-149.43396,99654,Wasilla,AK,58806.0,acres,USA
82589578,695000,$695K,"11335 Tulin Park Loop, Anchorage, AK 99516",4.0,3,2522.0,61.117313,-149.82965,99516,Anchorage,AK,8712.0,sqft,USA
3308,90000,$90K,"1118 Ingra St, Anchorage, AK 99501",2.0,2,960.0,61.21125,-149.86755,99501,Anchorage,AK,6969.6,sqft,USA
249964961,359000,$359K,"48622 Scott Ave, Soldotna, AK 99669",2.0,2,1276.0,60.482716,-151.19249,99669,Soldotna,AK,40946.4,acres,USA
31408,350000,$350K,"3727 W 74th Ave, Anchorage, AK 99502",3.0,2,1856.0,61.154285,-149.94919,99502,Anchorage,AK,27007.2,acres,USA
32737,479000,$479K,"8000 Summerset Dr, Anchorage, AK 99518",4.0,3,2400.0,61.148182,-149.89378,99518,Anchorage,AK,9147.6,sqft,USA
28765,570000,$570K,"7817 Brentwood Dr, Anchorage, AK 99502",4.0,3,2575.0,61.1498,-149.95337,99502,Anchorage,AK,9583.2,sqft,USA
46320,460000,$460K,"12170 Woodward Dr, Anchorage, AK 99516",3.0,3,1486.0,61.11067,-149.83926,99516,Anchorage,AK,9583.2,sqft,USA
34306,509900,$510K,"8521 Greenhill Way, Anchorage, AK 99502",4.0,3,1826.0,61.143555,-149.91597,99502,Anchorage,AK,9147.6,sqft,USA
84405759,790000,$790K,"40650 Belnap Dr, Homer, AK 99603",4.0,2,2348.0,59.685017,-151.66457,99603,Homer,AK,145490.4,acres,USA
74519224,399900,$400K,"8395 S Ivanhoe St, Palmer, AK 99645",2.0,2,1576.0,61.48437,-148.90755,99645,Palmer,AK,82764.0,acres,USA
2058974546,750000,$750K,"4539 E 7th Ave, Anchorage, AK 99508",12.0,6,5760.0,61.21623,-149.79518,99508,Anchorage,AK,15681.6,acres,USA
457969122,29000,$29K,"Township Road I Asls #85-015, Skwentna, AK 99667",3.0,2,1083424.3199999998,61.823177,-151.44469,99667,Skwentna,AK,1354280.4,acres,USA
2058979866,275000,$275K,"4839 Bryn Mawr Ct APT 5, Anchorage, AK 99508",2.0,2,971.0,61.194767,-149.79083,99508,Anchorage,AK,5.0756112E7,acres,USA
74489812,425000,$425K,"1405 Valley Dr, North Pole, AK 99705",3.0,2,2300.0,64.82411,-147.50696,99705,North Pole,AK,43560.0,acres,USA
452736089,499900,$500K,"Nhn Salcha Riv, Salcha, AK 99714",8.0,5,3474.0,64.486824,-146.89005,99714,Salcha,AK,217800.0,acres,USA
81603529,192000,$192K,"1601 Toyon Way, Kenai, AK 99611",3.0,3,1812.0,60.55688,-151.28604,99611,Kenai,AK,7405.0,sqft,USA
62702,1100000,$1.10M,"19330 Stonehill Dr, Eagle River, AK 99577",4.0,4,4200.0,61.28865,-149.52194,99577,Eagle River,AK,1571209.2,acres,USA
444214506,120000,$120K,"Nhn Chilkat Lk, Haines, AK 99827",1.0,2,528.0,59.334553,-135.88545,99827,Haines,AK,580.8,acres,USA
84148019,310000,$310K,"205 W Pennington Pl, Wasilla, AK 99654",3.0,2,1456.0,61.54825,-149.45364,99654,Wasilla,AK,40075.2,acres,USA
111990395,499000,$499K,"3288 W Birch Meadows Rd, Wasilla, AK 99654",3.0,3,1867.0,61.538464,-149.53314,99654,Wasilla,AK,63162.0,acres,USA
90664683,49000,$49K,"6020 Middle Fork Rd, Fairbanks, AK 99712",1.0,1,640.0,65.13089,-147.63393,99712,Fairbanks,AK,704.0,acres,USA
74521946,399900,$400K,"3460 N Banner Way, Wasilla, AK 99654",3.0,3,1702.0,61.619167,-149.45486,99654,Wasilla,AK,57499.2,acres,USA
2064901697,99500,$100K,"12814 N Shelly Way, Willow, AK 99688",1.0,2,504.0,61.732487,-150.08385,99688,Willow,AK,554.4,acres,USA
63381,465000,$465K,"19051 Chrystal Island Dr, Eagle River, AK 99577",3.0,3,1740.0,61.299892,-149.52608,99577,Eagle River,AK,7405.2,sqft,USA
27653,306000,$306K,"4906 Cambridge Way, Anchorage, AK 99503",4.0,2,2184.0,61.175495,-149.9042,99503,Anchorage,AK,8712.0,sqft,USA
82585108,899000,$899K,"16358 Far View Pl #4, Anchorage, AK 99516",4.0,4,3400.0,61.07347,-149.7603,99516,Anchorage,AK,1.777248E8,acres,USA
35723601,525000,$525K,"7524 Eastbrook Cir, Anchorage, AK 99519",3.0,3,1895.0,61.19976,-149.73962,99519,Anchorage,AK,6534.0,sqft,USA
74520260,420000,$420K,"1195 N Lucille St, Wasilla, AK 99654",3.0,2,2052.0,61.591892,-149.45004,99654,Wasilla,AK,20908.8,acres,USA
359221633,95000,$95K,"0 Loon, Homer, AK 99603",3.0,2,408.0,59.716297,-151.0104,99603,Homer,AK,292723.2,acres,USA
250593022,1699000,$1.70M,"14170 Golden View Dr, Anchorage, AK 99516",6.0,6,5504.0,61.092712,-149.77507,99516,Anchorage,AK,44866.8,acres,USA
48041,280000,$280K,"1110 Golden Berry Ave, Anchorage, AK 99515",2.0,1,880.0,61.128334,-149.86104,99515,Anchorage,AK,3484.8,sqft,USA
2079970927,549000,$549K,"5209 W Jaxton Cir, Wasilla, AK 99623",3.0,3,2185.0,61.555775,-149.58119,99623,Wasilla,AK,40075.2,acres,USA
74523335,499999,$500K,"4156 N Cambric Cir, Wasilla, AK 99654",5.0,3,3135.0,61.627247,-149.45523,99654,Wasilla,AK,30056.4,acres,USA
7237,299000,$299K,"1430 Columbine St, Anchorage, AK 99508",7.0,2,2805.0,61.20824,-149.81834,99508,Anchorage,AK,7405.2,sqft,USA
219477827,284900,$285K,"10900 W Hobbit Rd, Wasilla, AK 99623",2.0,2,912.0,61.60582,-149.7577,99623,Wasilla,AK,20908.8,acres,USA
82587911,350000,$350K,"24641 Chugiak Dr, Chugiak, AK 99567",3.0,2,1450.0,61.41557,-149.42229,99567,Chugiak,AK,20037.6,acres,USA
2093970822,300000,$300K,"1522 Rosemary St, Anchorage, AK 99508",3.0,3,1363.0,61.20737,-149.81927,99508,Anchorage,AK,10890.0,acres,USA
219464255,480000,$480K,"40327 S Malaspina Loop, Talkeetna, AK 99676",3.0,1,1312.0,62.16356,-149.93494,99676,Talkeetna,AK,217800.0,acres,USA
84149016,385000,$385K,"4431 N Cedarwood Dr, Wasilla, AK 99654",5.0,4,3898.0,61.63027,-149.325,99654,Wasilla,AK,40510.8,acres,USA
61620326,685000,$685K,"5424 Cape Seville Dr, Anchorage, AK 99516",4.0,3,2300.0,61.073715,-149.77986,99516,Anchorage,AK,9147.6,sqft,USA
452857574,1950000,$1.95M,"19652 W Blue Goose Rd, Wasilla, AK 99623",8.0,4,5744.0,61.437595,-149.93407,99623,Wasilla,AK,8712000.0,acres,USA
457498559,9800000,$9.80M,"67480 Halibut Rd, Ninilchik, AK 99639",11.0,11,8948.0,60.034542,-151.6971,99639,Ninilchik,AK,345866.4,acres,USA
74490839,565000,$565K,"1211 Vasi Way, North Pole, AK 99705",4.0,3,2521.0,64.82067,-147.52827,99705,North Pole,AK,52576.92,acres,USA
49091,1200000,$1.20M,"6820 Gunnison Dr, Anchorage, AK 99516",3.0,3,3707.0,61.099545,-149.75414,99516,Anchorage,AK,49222.8,acres,USA
74483838,334900,$335K,"2932 Cecile St, North Pole, AK 99705",4.0,2,1326.0,64.73575,-147.27078,99705,North Pole,AK,40020.0,acres,USA
457266985,125000,$125K,"L1 Mona Lake Deska Riv, Willow, AK 99688",3.0,2,348480.0,61.864204,-150.49911,99688,Willow,AK,435600.0,acres,USA
52492,474500,$475K,"13481 Baywind Dr, Anchorage, AK 99516",3.0,2,1918.0,61.098824,-149.82924,99516,Anchorage,AK,8712.0,sqft,USA
88893401,415000,$415K,"3216 Tarwater Ave, Anchorage, AK 99508",4.0,2,1570.0,61.226597,-149.82082,99508,Anchorage,AK,6534.0,sqft,USA
458845393,89500,"","High Mountain, Trapper Creek, AK 99683",3.0,2,401405.4,62.316322,-150.23373,99683,Trapper Creek,AK,422532.0,acres,USA
17356323,539900,$540K,"5443 Golondrina Dr, San Bernardino, CA 92404",4.0,2,1698.0,34.154995,-117.24593,92404,San Bernardino,CA,7370.0,sqft,USA
63307185,949000,$949K,"5713 Canoe Dr, Corona, CA 92880",4.0,3,3604.0,33.987583,-117.55937,92880,Corona,CA,12632.4,acres,USA
66111107,699999,$700K,"1531 Phillips St, Vista, CA 92083",3.0,2,1532.0,33.18317,-117.221954,92083,Vista,CA,12196.8,acres,USA
17245739,499999,$500K,"5235 Yosemite Dr, San Bernardino, CA 92407",3.0,2,1702.0,34.17619,-117.30124,92407,San Bernardino,CA,8030.0,sqft,USA
26077320,399000,$399K,"269 Lindley Dr, Sacramento, CA 95815",4.0,2,1158.0,38.6202,-121.460526,95815,Sacramento,CA,6969.6,sqft,USA
21233876,699000,$699K,"1074 Vina Ave, Long Beach, CA 90813",2.0,2,934.0,33.78036,-118.16907,90813,Long Beach,CA,3149.0,sqft,USA
26043596,675000,$675K,"4329 Zephyr Way, Sacramento, CA 95821",6.0,4,2310.0,38.640224,-121.36293,95821,Sacramento,CA,8712.0,sqft,USA
442607357,2275000,$2.28M,"20741 W Deer Grass Ct, Porter Ranch, CA 91326",5.0,6,3880.0,34.2985,-118.585075,91326,Porter Ranch,CA,9422.0,sqft,USA
18998853,389900,$390K,"2418 Driller Ave, Bakersfield, CA 93306",3.0,3,1672.0,35.40225,-118.96553,93306,Bakersfield,CA,7405.2,sqft,USA
20391299,1995000,$2.00M,"5516 W 82nd St, Los Angeles, CA 90045",4.0,4,3520.0,33.96376,-118.37599,90045,Los Angeles,CA,5719.0,sqft,USA
17552753,1150000,$1.15M,"13639 Meadow Crest Dr, Chino Hills, CA 91709",4.0,3,2230.0,34.002846,-117.73383,91709,Chino Hills,CA,8000.0,sqft,USA
82952696,599000,$599K,"175 W Saint James St UNIT 601, San Jose, CA 95110",2.0,2,1103.0,37.34637,-121.90949,95110,San Jose,CA,5.7656016E7,acres,USA
21551091,800000,$800K,"14577 Sierra Way, Baldwin Park, CA 91706",3.0,2,1238.0,34.07944,-117.95782,91706,Baldwin Park,CA,8700.0,sqft,USA
16705673,1349000,$1.35M,"2460 Reill View Dr, Escondido, CA 92025",5.0,3,3042.0,33.093197,-117.061165,92025,Escondido,CA,43560.0,acres,USA
21442015,599000,$599K,"12534 Persing Dr, Whittier, CA 90606",2.0,1,600.0,33.966766,-118.04479,90606,Whittier,CA,7297.0,sqft,USA
64600717,429000,$429K,"13971 Jockey Ln, Victorville, CA 92394",4.0,3,1889.0,34.515022,-117.358185,92394,Victorville,CA,6006.0,sqft,USA
64972307,1295000,$1.30M,"1750 Page St, San Francisco, CA 94117",2.0,1,1298.0,37.7709,-122.449684,94117,San Francisco,CA,3437.0,sqft,USA
69280542,680000,$680K,"30075 Mickelson Way, Murrieta, CA 92563",4.0,3,2154.0,33.56453,-117.141235,92563,Murrieta,CA,5227.0,sqft,USA
17192466,1064900,$1.06M,"5002 Dubois Dr, San Diego, CA 92117",3.0,2,1379.0,32.836414,-117.19862,92117,San Diego,CA,6534.0,sqft,USA
68998256,499900,$500K,"11832 Stoney Ridge Way, Rancho Cordova, CA 95742",4.0,3,2019.0,38.545692,-121.237434,95742,Rancho Cordova,CA,2374.02,sqft,USA
63788203,998900,$999K,"15752 Cobalt St, Sylmar, CA 91342",4.0,3,2282.0,34.30289,-118.47375,91342,Sylmar,CA,7462.0,sqft,USA
18164370,725000,$725K,"39221 Corte Tesoro, Murrieta, CA 92563",4.0,2,1870.0,33.57009,-117.1659,92563,Murrieta,CA,13939.0,acres,USA
20851158,899000,$899K,"1954 Addison Way, Los Angeles, CA 90041",2.0,2,1010.0,34.133064,-118.21018,90041,Los Angeles,CA,2480.0,sqft,USA
306420773,4980000,$4.98M,"5384 Aurora Summit Trl, San Diego, CA 92130",6.0,8,5003.0,32.969963,-117.19453,92130,San Diego,CA,15246.0,acres,USA
