zpid,price,priceLabel,address,beds,baths,hdpData.homeInfo.livingArea,latLong.latitude,latLong.longitude,hdpData.homeInfo.zipcode,hdpData.homeInfo.city,hdpData.homeInfo.state,hdpData.homeInfo.lotAreaValue,hdpData.homeInfo.lotAreaUnit,country,,
459271619,615000,,1330 W Spruce Ave,6,9,2638,27.962872,-149.48428,99654,Wasilla,AK,0.98,Acres,USA,,
459320138,"$250,000",$250K,"1765 N Kerrylynn Ln, Wasilla, AK 99623",6,3,900,27.964289,-149.69739,99623,Wasilla,AK,1.04,acres,USA,,
459324746,305000,,2120 N Willow Dr,6,3,1616,27.96472,-149.33676,99654,Wasilla,AK,0.95,Acres,USA,,
459381858,"$284,900",$285K,"10900 W Hobbit Rd, Wasilla, AK 99623",6,11,912,27.967003,-149.7577,99623,Wasilla,AK,0.48,acres,USA,,
459524538,284900,,10900 W Hobbit Rd,6,2,912,27.967405,-149.7577,99623,Wasilla,AK,0.48,Acres,USA,,
459642188,675000,,10437 E Heartland Loop,6,5,2357,27.96793,-149.20058,99645,Palmer,AK,0.47,Acres,USA,,
459682822,672603,,2953 N Cottage Knoll Dr,6,4,2361,27.968407,-149.19455,99645,Palmer,AK,0.69,Acres,USA,,
459696356,520000,,4088 N Inspiration Loop,6,4,2462,27.968435,-149.49335,99654,Wasilla,AK,1.08,Acres,USA,,
459713208,445000,,2280 E Grizzly Bear Dr,6,4,1531,27.968826,-149.39108,99654,Wasilla,AK,0.64,Acres,USA,,
459747240,445000,,2280 E Grizzly Bear Dr,6,5,1531,27.969625,-149.39108,99654,Wasilla,AK,0.64,Acres,USA,,
459749446,"$399,900",$400K,"3460 N Banner Way, Wasilla, AK 99654",6,5,1702,27.969927,-149.45486,99654,Wasilla,AK,1.32,acres,USA,,
459762895,419900,,3410 N Tattler Ct,6,8,2468,27.970284,-149.41048,99654,Wasilla,AK,0.93,Acres,USA,,
459817653,"$150,000",$150K,"1655 E Raven Dr, Wasilla, AK 99654",6,6,1604,27.970612,-149.40926,99654,Wasilla,AK,0.52,acres,USA,,
459834889,150000,,1655 E Raven Dr,6,6,1604,27.97067,-149.40926,99654,Wasilla,AK,0.52,Acres,USA,,
459848700,150000,,1655 E Raven Dr,6,7,1604,27.970865,-149.40926,99654,Wasilla,AK,0.52,Acres,USA,,
459872488,749900,,3720 N Sasha St,6,11,3400,27.970905,-149.5279,99623,Wasilla,AK,1,Acres,USA,,
459884551,460000,,4006 N Farm Field Pl,6,5,1926,27.971275,-149.52841,99623,Wasilla,AK,1.03,Acres,USA,,
459886424,"$364,000",$364K,"630 E McAdoo Way, Wasilla, AK 99654",6,6,1530,27.97153,-149.43396,99654,Wasilla,AK,1.35,acres,USA,,
459892170,364000,,630 E McAdoo Way,6,4,1530,27.972038,-149.43396,99654,Wasilla,AK,1.35,Acres,USA,,
459904535,"$499,999",$500K,"4156 N Cambric Cir, Wasilla, AK 99654",6,5,3135,27.972755,-149.45523,99654,Wasilla,AK,0.69,acres,USA,,
2053096277,499999,,4156 N Cambric Cir,6,8,3135,27.973211,-149.45523,99654,Wasilla,AK,0.69,Acres,USA,,
2055542665,499999,,4156 N Cambric Cir,6,4,3135,27.973495,-149.45523,99654,Wasilla,AK,0.69,Acres,USA,,
2056278762,200000,,4317 N Sandhill Crane St,6,3,800,27.97353,-149.49843,99654,Wasilla,AK,2.06,Acres,USA,,
2057675394,"$385,000",$385K,"4431 N Cedarwood Dr, Wasilla, AK 99654",6,11,3898,27.97379,-149.325,99654,Wasilla,AK,0.93,acres,USA,,
2058410503,774000,,4588 N Gold Mint Dr,6,2,4752,27.973886,-149.4953,99654,Wasilla,AK,2.32,Acres,USA,,
2058806755,699000,,7658 E Wolf Creek Rd,6,5,3356,27.974266,-149.25792,99654,Wasilla,AK,1.03,Acres,USA,,
2058974546,445000,,5711 E Bideford Blvd,6,6,3010,27.974508,-148.88629,99645,Palmer,AK,1.360399449,Acres,USA,,
2058979866,"$435,000",$435K,"8450 N Michaelson St, Palmer, AK 99645",6,3,1436,27.97462,-149.22328,99645,Palmer,AK,0.95,acres,USA,,
2062409260,"$99,500",$100K,"12814 N Shelly Way, Willow, AK 99688",6,4,504,27.97513,-150.08385,99688,Willow,AK,0.574311295,acres,USA,,
